INDNO,DlyCalDt,DlyTotRet,DlyTotInd,DlyIncRet,DlyUsdCnt,DlyTotVal
1000500,1991-04-11,0.011966,696.97,0.000000,500,2485260131
1000500,1991-04-12,0.006927,701.80,0.000000,500,2502474344
1000500,1991-04-15,0.002050,703.23,0.000192,500,2507124073
1000500,1991-04-16,0.016727,715.00,0.000016,500,2549020826
1000500,1991-04-17,0.007762,720.55,0.000036,500,2569730406
1000500,1991-04-18,-0.004972,716.96,0.000000,500,2556953493
1000500,1991-04-19,-0.011045,709.04,0.000040,500,2528609660
1000500,1991-04-22,-0.008843,702.77,0.000076,500,2506056678
1000500,1991-04-23,0.002352,704.43,0.000002,500,2511945994
1000500,1991-04-24,0.002969,706.52,0.000071,500,2519223788
1000500,1991-04-25,-0.009344,699.92,0.000049,500,2495561872
1000500,1991-04-26,-0.000438,699.61,0.000101,500,2494218026
1000500,1991-04-29,-0.013996,689.82,0.000195,500,2458824416
1000500,1991-04-30,0.004294,692.78,0.000283,500,2468691453
1000500,1991-05-01,0.013525,702.15,0.000004,500,2502069685
1000500,1991-05-02,0.000548,702.54,0.000038,500,2503346851
1000500,1991-05-03,0.000767,703.08,0.000120,500,2504965768
1000500,1991-05-06,-0.001623,701.94,0.000677,500,2499204665
1000500,1991-05-07,-0.006368,697.46,0.000498,500,2482054559
1000500,1991-05-08,0.003109,699.63,0.000011,500,2489741612
1000500,1991-05-09,0.013143,708.83,0.000486,500,2521255254
1000500,1991-05-10,-0.019361,695.10,0.000176,500,2471995705
1000500,1991-05-13,0.002650,696.95,0.000289,500,2477833017
1000500,1991-05-14,-0.013416,687.60,0.000092,500,2444360323
1000500,1991-05-15,-0.008381,681.83,0.000134,500,2423546395
1000500,1991-05-16,0.010488,688.98,0.000192,500,2448500200
1000500,1991-05-17,0.000287,689.18,0.000187,500,2448745477
1000500,1991-05-20,0.000341,689.42,0.000226,500,2449028091
1000500,1991-05-21,0.008492,695.27,0.000113,500,2469549318
1000500,1991-05-22,0.002193,696.80,0.000031,500,2474534753
1000500,1991-05-23,-0.003169,694.59,0.000006,500,2466678001
1000500,1991-05-24,0.007161,699.56,0.000291,500,2483621934
1000500,1991-05-28,0.011962,707.93,0.000321,500,2512534091
1000500,1991-05-29,0.002152,709.45,0.000029,500,2517868990
1000500,1991-05-30,0.010946,717.22,0.000039,500,2545331004
1000500,1991-05-31,0.007622,722.69,0.000183,500,2564421529
1000500,1991-06-03,-0.004027,719.78,0.000335,500,2553429877
1000500,1991-06-04,-0.000612,719.34,0.000110,500,2551585026
1000500,1991-06-05,-0.006950,714.34,0.000014,500,2533815315
1000500,1991-06-06,-0.003818,711.61,0.000067,500,2523971219
1000500,1991-06-07,-0.010521,704.12,0.000014,500,2497386853
1000500,1991-06-10,-0.001845,702.82,0.000318,500,2491986284
1000500,1991-06-11,0.006298,707.25,0.000204,500,2507171356
1000500,1991-06-12,-0.011361,699.21,0.000002,500,2478682920
1000500,1991-06-13,0.002846,701.20,0.000086,500,2485523034
1000500,1991-06-14,0.012304,709.83,0.000001,500,2516115232
1000500,1991-06-17,-0.005206,706.14,0.000034,500,2502931674
1000500,1991-06-18,-0.004062,703.27,0.000089,500,2492541614
1000500,1991-06-19,-0.009196,696.80,0.000004,500,2469609704
1000500,1991-06-20,0.000643,697.25,0.000012,500,2471168566
1000500,1991-06-21,0.006175,701.56,0.000000,500,2486427626
1000500,1991-06-24,-0.017436,689.32,0.000535,500,2441742792
1000500,1991-06-25,-0.000686,688.85,0.000060,500,2439922026
1000500,1991-06-26,0.002655,690.68,0.000028,500,2446330507
1000500,1991-06-27,0.007509,695.86,0.000006,500,2464686305
1000500,1991-06-28,-0.008599,689.88,0.000274,500,2450413646
1000500,1991-07-01,0.018436,702.60,0.000039,500,2495493868
1000500,1991-07-02,-0.000997,701.90,0.000000,500,2493005717
1000500,1991-07-03,-0.010531,694.51,0.000407,500,2465738014
1000500,1991-07-05,0.002285,696.09,0.000168,500,2470958139
1000500,1991-07-08,0.009176,702.48,0.000013,500,2493600766
1000500,1991-07-09,-0.003565,699.98,0.000098,500,2484467969
1000500,1991-07-10,-0.001057,699.24,0.000000,500,2481840743
1000500,1991-07-11,0.003328,701.56,0.000002,500,2490094545
1000500,1991-07-12,0.008391,707.45,0.000003,500,2510983263
1000500,1991-07-15,0.005626,711.43,0.000181,500,2524657860
1000500,1991-07-16,-0.002213,709.86,0.000029,500,2521739435
1000500,1991-07-17,-0.000664,709.39,0.000053,500,2519932461
1000500,1991-07-18,0.010663,716.95,0.000000,500,2546802209
1000500,1991-07-19,-0.002927,714.85,0.000014,500,2539311767
1000500,1991-07-22,-0.003437,712.40,0.000074,500,2530395989
1000500,1991-07-23,-0.009160,705.87,0.000007,500,2506848271
1000500,1991-07-24,-0.001988,704.47,0.000026,500,2501798785
1000500,1991-07-25,0.006100,708.76,0.000047,500,2516943266
1000500,1991-07-26,0.000121,708.85,0.000064,500,2517086574
1000500,1991-07-29,0.006041,713.13,0.000189,500,2531815954
1000500,1991-07-30,0.009347,719.80,0.000271,500,2554795531
1000500,1991-07-31,0.003024,721.97,0.000006,500,2562517656
1000500,1991-08-01,-0.001632,720.80,0.000053,500,2558200760
1000500,1991-08-02,0.000282,721.00,0.000141,500,2558567052
1000500,1991-08-05,-0.005198,717.25,0.000367,500,2544329855
1000500,1991-08-06,0.014971,727.99,0.000496,500,2581105994
1000500,1991-08-07,0.000247,728.17,0.000403,500,2580702082
1000500,1991-08-08,-0.002977,726.00,0.000159,500,2572609263
1000500,1991-08-09,-0.005075,722.32,0.000332,500,2558698668
1000500,1991-08-12,0.002382,724.04,0.000278,500,2564082849
1000500,1991-08-13,0.004182,727.07,0.000043,500,2574694992
1000500,1991-08-14,0.001187,727.93,0.000146,500,2577376739
1000500,1991-08-15,-0.001374,726.93,0.000070,500,2573656456
1000500,1991-08-16,-0.009514,720.01,0.000154,500,2548775025
1000500,1991-08-19,-0.023275,703.25,0.000197,500,2488948926
1000500,1991-08-20,0.007807,708.74,0.000025,500,2508319338
1000500,1991-08-21,0.029085,729.36,0.000024,500,2581213717
1000500,1991-08-22,0.002213,730.97,0.000040,500,2586821454
1000500,1991-08-23,0.007142,736.19,0.000006,500,2605282359
